study_id,segment,code_main,code_identifiers,code_identifiers_link,bacteria_id,bacteria_definitions,bacteria_rank,bacteria_div,bacteria_segment_name_class,bacteria_preferred_label,bacteria_parent_name,bacteria_parent_rank
13399,staphylococcus haemolyticus,binomial (genus species),NA,NA,1283,NA,species,bacteria,preferred_label,staphylococcus haemolyticus,staphylococcus,genus
13465,salmonella enterica,binomial (genus species),NA,NA,28901,NA,species,bacteria,preferred_label,salmonella enterica,salmonella,genus
13548,klebsiella pneumoniae,binomial (genus species),NA,NA,573,NA,species,bacteria,preferred_label,klebsiella pneumoniae,klebsiella,genus
13557,corynebacterium striatum,binomial (genus species),NA,NA,43770,NA,species,bacteria,preferred_label,corynebacterium striatum,corynebacterium,genus
13592,mycobacterium tuberculosis,binomial (genus species),NA,NA,1773,NA,species,bacteria,preferred_label,mycobacterium tuberculosis,mycobacterium tuberculosis complex,species group
137,mycobacterium septicum,binomial (genus species),NA,NA,98668,NA,species,bacteria,preferred_label,mycobacterium septicum,mycobacterium,genus
13741,sphingobacterium multivorum,binomial (genus species),NA,NA,28454,NA,species,bacteria,preferred_label,sphingobacterium multivorum,sphingobacterium,genus
13772,brevundimonas diminuta,binomial (genus species),a,binomial (genus species); drug resisted,293,NA,species,bacteria,preferred_label,brevundimonas diminuta,brevundimonas,genus
13772,ochrobactrum anthropi,binomial (genus species),b,binomial (genus species); drug resisted,529,NA,species,bacteria,preferred_label,ochrobactrum anthropi,ochrobactrum,genus
13794,acinetobacter baumannii,binomial (genus species),NA,NA,470,NA,species,bacteria,preferred_label,acinetobacter baumannii,acinetobacter calcoaceticus/baumannii complex,species group
13804,enterococcus gallinarum,binomial (genus species),NA,NA,1353,NA,species,bacteria,preferred_label,enterococcus gallinarum,enterococcus,genus
13994,corynebacterium diphtheriae,binomial (genus species),NA,NA,1717,NA,species,bacteria,preferred_label,corynebacterium diphtheriae,corynebacterium,genus
14082,nocardia yamanashiensis,binomial (genus species),NA,NA,209247,NA,species,bacteria,preferred_label,nocardia yamanashiensis,nocardia,genus
14126,providencia stuartii,binomial (genus species),NA,NA,588,NA,species,bacteria,preferred_label,providencia stuartii,providencia,genus
14130,klebsiella pneumoniae,binomial (genus species),NA,NA,573,NA,species,bacteria,preferred_label,klebsiella pneumoniae,klebsiella,genus
14233,salmonella enterica,binomial (genus species),NA,NA,28901,NA,species,bacteria,preferred_label,salmonella enterica,salmonella,genus
14287,nocardia paucivorans,binomial (genus species),NA,NA,114259,NA,species,bacteria,preferred_label,nocardia paucivorans,nocardia,genus
14404,neisseria gonorrhoeae,binomial (genus species),NA,NA,485,NA,species,bacteria,preferred_label,neisseria gonorrhoeae,neisseria,genus
14571,k pneumoniae,binomial (genus species),NA,NA,573,NA,species,bacteria,abbreviation,klebsiella pneumoniae,klebsiella,genus
14616,mycobacterium tuberculosis,binomial (genus species),NA,NA,1773,NA,species,bacteria,preferred_label,mycobacterium tuberculosis,mycobacterium tuberculosis complex,species group
14740,k pneumoniae,binomial (genus species),NA,NA,573,NA,species,bacteria,abbreviation,klebsiella pneumoniae,klebsiella,genus
14740,escherichia coli,binomial (genus species),NA,NA,562,NA,species,bacteria,preferred_label,escherichia coli,escherichia,genus
14751,streptococcus pneumoniae,binomial (genus species),NA,NA,1313,NA,species,bacteria,preferred_label,streptococcus pneumoniae,streptococcus,genus
14823,acinetobacter baumannii,binomial (genus species),NA,NA,470,NA,species,bacteria,preferred_label,acinetobacter baumannii,acinetobacter calcoaceticus/baumannii complex,species group
14906,escherichia coli,binomial (genus species),NA,NA,562,NA,species,bacteria,preferred_label,escherichia coli,escherichia,genus
1495,sphingobacterium multivorum,binomial (genus species),NA,NA,28454,NA,species,bacteria,preferred_label,sphingobacterium multivorum,sphingobacterium,genus
15,f hominis,binomial (genus species),NA,NA,178214,NA,species,bacteria,abbreviation,facklamia hominis,facklamia,genus
15256,enterobacter cloacae,binomial (genus species),NA,NA,550,NA,species,bacteria,preferred_label,enterobacter cloacae,enterobacter cloacae complex,species group
15268,escherichia coli,binomial (genus species),NA,NA,562,NA,species,bacteria,preferred_label,escherichia coli,escherichia,genus
15331,staphylococcus epidermidis,binomial (genus species),NA,NA,1282,NA,species,bacteria,preferred_label,staphylococcus epidermidis,staphylococcus,genus
15337,enterococcus faecium,binomial (genus species),NA,NA,1352,NA,species,bacteria,preferred_label,enterococcus faecium,enterococcus,genus
15378,enterococcus faecium,binomial (genus species),NA,NA,1352,NA,species,bacteria,preferred_label,enterococcus faecium,enterococcus,genus
15475,salmonella enterica,binomial (genus species),NA,NA,28901,NA,species,bacteria,preferred_label,salmonella enterica,salmonella,genus
15632,klebsiella pneumoniae,binomial (genus species),NA,NA,573,NA,species,bacteria,preferred_label,klebsiella pneumoniae,klebsiella,genus
15654,bacteroides stercoris,binomial (genus species),NA,NA,46506,NA,species,bacteria,preferred_label,bacteroides stercoris,bacteroides,genus
1566,listeria monocytogenes,binomial (genus species),NA,NA,1639,NA,species,bacteria,preferred_label,listeria monocytogenes,listeria,genus
15936,e coli,binomial (genus species),NA,NA,562,NA,species,bacteria,abbreviation,escherichia coli,escherichia,genus
15936,e coli,binomial (genus species),NA,NA,562,NA,species,bacteria,abbreviation,escherichia coli,escherichia,genus
15936,e coli,binomial (genus species),NA,NA,562,NA,species,bacteria,abbreviation,escherichia coli,escherichia,genus
15936,e coli,binomial (genus species),NA,NA,562,NA,species,bacteria,abbreviation,escherichia coli,escherichia,genus
15946,neisseria lactamica,binomial (genus species),NA,NA,486,NA,species,bacteria,preferred_label,neisseria lactamica,neisseria,genus
16248,enterobacteriaceae,binomial (genus species),NA,NA,543,NA,family,bacteria,preferred_label,enterobacteriaceae,enterobacterales,order
16251,klebsiella pneumoniae,binomial (genus species),NA,NA,573,NA,species,bacteria,preferred_label,klebsiella pneumoniae,klebsiella,genus
16267,a baumannii,binomial (genus species),NA,NA,470,NA,species,bacteria,abbreviation,acinetobacter baumannii,acinetobacter calcoaceticus/baumannii complex,species group
16438,cellulosimicrobium funkei,binomial (genus species),NA,NA,264251,NA,species,bacteria,preferred_label,cellulosimicrobium funkei,cellulosimicrobium,genus
16584,acinetobacter baumannii,binomial (genus species),NA,NA,470,NA,species,bacteria,preferred_label,acinetobacter baumannii,acinetobacter calcoaceticus/baumannii complex,species group
16713,enterococcus faecium,binomial (genus species),NA,NA,1352,NA,species,bacteria,preferred_label,enterococcus faecium,enterococcus,genus
